School District Code,School District Tested,District Average Score,District Number Tested
601,Appling County,19,16
602,Atkinson County,,NaN
603,Bacon County,,NaN
604,Baker County,,NaN
605,Baldwin County,15.6,41
606,Banks County,20.1,28
607,Barrow County,19.3,181
607,Barrow County,19.3,181
608,Bartow County,20.2,181
609,Ben Hill County,16,13
610,Berrien County,21.1,10
611,Bibb County,17.7,168
612,Bleckley County,19,26
613,Brantley County,20.7,29
614,Brooks County,16.8,29
615,Bryan County,21.9,102
616,Bulloch County,19.9,108
617,Burke County,17.7,10
618,Butts County,18.2,52
619,Calhoun County,,NaN
620,Camden County,20.8,108
621,Candler County,17.9,11
622,Carroll County,19.9,179
623,Catoosa County,19.9,267
624,Charlton County,,NaN
625,Savannah-Chatham County,19.4,261
626,Chattahoochee County,,NaN
627,Chattooga County,19.1,43
628,Cherokee County,22.3,970
629,Clarke County,18.5,257
631,Clayton County,17.4,760
632,Clinch County,,NaN
633,Cobb County,22.5,2143
634,Coffee County,19.9,43
635,Colquitt County,18.6,89
636,Columbia County,22.7,325
637,Cook County,17.3,18
638,Coweta County,21.3,543
639,Crawford County,17.9,13
640,Crisp County,18.9,53
641,Dade County,19.9,61
642,Dawson County,21.3,65
643,Decatur County,19.1,57
644,DeKalb County,20,1337
645,Dodge County,18.6,28
646,Dooly County,15.9,20
647,Dougherty County,16.9,80
648,Douglas County,19.1,650
649,Early County,16.6,47
650,Echols County,17.2,14
651,Effingham County,21.4,139
652,Elbert County,17.5,18
653,Emanuel County,19.2,35
654,Evans County,,NaN
655,Fannin County,21.6,32
656,Fayette County,22.9,617
657,Floyd County,19.8,201
658,Forsyth County,24.6,1074
659,Franklin County,18.6,39
660,Fulton County,23.5,2071
661,Gilmer County,19.7,23
662,Glascock County,,NaN
663,Glynn County,20.8,249
664,Gordon County,19.4,72
665,Grady County,18,45
666,Greene County,17.5,28
667,Gwinnett County,22.5,2785
668,Habersham County,25.8,20
669,Hall County,21.1,252
670,Hancock County,15.6,10
671,Haralson County,20.3,28
672,Harris County,20.7,110
673,Hart County,18.8,25
674,Heard County,18.5,38
675,Henry County,19.3,1010
676,Houston County,20.5,346
677,Irwin County,17.6,31
678,Jackson County,20.6,103
679,Jasper County,18.2,32
680,Jeff Davis County,17.8,17
681,Jefferson County,,NaN
682,Jenkins County,17.9,14
683,Johnson County,17.2,10
684,Jones County,18.9,63
685,Lamar County,18.4,20
686,Lanier County,,NaN
687,Laurens County,20,61
688,Lee County,19.7,106
689,Liberty County,18.3,168
690,Lincoln County,18.5,16
691,Long County,18.1,16
692,Lowndes County,21.3,148
693,Lumpkin County,20.2,53
694,Macon County,16.5,18
695,Madison County,20.3,29
696,Marion County,18,11
697,McDuffie County,17.9,43
698,McIntosh County,,NaN
699,Meriwether County,17.4,56
700,Miller County,,NaN
701,Mitchell County,17,11
702,Monroe County,19.9,67
703,Montgomery County,,NaN
704,Morgan County,20.2,74
705,Murray County,19,65
706,Muscogee County,19.2,603
707,Newton County,17.7,422
708,Oconee County,23.5,187
709,Oglethorpe County,20,32
710,Paulding County,19.8,420
711,Peach County,17.4,72
712,Pickens County,22.9,39
713,Pierce County,20.3,53
714,Pike County,19.5,24
715,Polk County,19.6,63
716,Pulaski County,,NaN
717,Putnam County,18.5,77
718,Quitman County,,NaN
719,Rabun County,20.4,23
720,Randolph County,,NaN
721,Richmond County,17.1,316
722,Rockdale County,19.3,343
723,Schley County,20.1,16
724,Screven County,20.8,12
725,Seminole County,,NaN
726,Griffin-Spalding County,18,127
727,Stephens County,20.2,36
728,Stewart County,,NaN
729,Sumter County,16.5,46
730,Talbot County,,NaN
731,Taliaferro County,,NaN
732,Tattnall County,20.3,16
733,Taylor County,19.3,15
734,Telfair County,,NaN
735,Terrell County,16,31
736,Thomas County,19.4,53
737,Tift County,19.1,74
738,Toombs County,17,16
739,Towns County,21.4,16
740,Treutlen County,,NaN
741,Troup County,19.7,191
742,Turner County,15.3,13
743,Twiggs County,,NaN
744,Union County,21.6,33
745,Thomaston-Upson County,17.2,51
746,Walker County,19.3,174
747,Walton County,20.4,176
748,Ware County,21.5,26
749,Warren County,,NaN
750,Washington County,17.8,64
751,Wayne County,18,44
752,Webster County,17.1,10
753,Wheeler County,,NaN
754,White County,21.8,33
755,Whitfield County,19.5,218
756,Wilcox County,15.2,13
757,Wilkes County,18.1,11
758,Wilkinson County,17.1,31
759,Worth County,16.7,11
761,Atlanta Public Schools,19,923
763,Bremen City,22.8,55
764,Buford City,24.1,89
765,Calhoun City,20.5,74
766,Carrollton City,20.9,106
767,Cartersville City,21,147
769,Chickamauga City,21,61
771,Commerce City,20.6,18
772,Dalton Public Schools,19.8,82
773,Decatur City,24.9,114
774,Dublin City,16.7,41
776,Gainesville City,19.8,66
779,Jefferson City,22.7,67
781,Marietta City,21.8,158
784,Pelham City,17.8,29
785,Rome City,19.3,124
786,Social Circle City,21.3,10
789,Thomasville City,19.7,55
791,Trion City,19.6,44
792,Valdosta City,19.9,70
793,Vidalia City,18.5,28
