,School District Code,School District Tested,District Average Score,District Number Tested
0,601,Appling County,19.0,16.0
4,605,Baldwin County,15.6,41.0
5,606,Banks County,20.1,28.0
6,607,Barrow County,19.3,181.0
7,607,Barrow County,19.3,181.0
8,608,Bartow County,20.2,181.0
9,609,Ben Hill County,16.0,13.0
10,610,Berrien County,21.1,10.0
11,611,Bibb County,17.7,168.0
12,612,Bleckley County,19.0,26.0
13,613,Brantley County,20.7,29.0
14,614,Brooks County,16.8,29.0
15,615,Bryan County,21.9,102.0
16,616,Bulloch County,19.9,108.0
17,617,Burke County,17.7,10.0
18,618,Butts County,18.2,52.0
20,620,Camden County,20.8,108.0
21,621,Candler County,17.9,11.0
22,622,Carroll County,19.9,179.0
23,623,Catoosa County,19.9,267.0
25,625,Savannah-Chatham County,19.4,261.0
27,627,Chattooga County,19.1,43.0
28,628,Cherokee County,22.3,970.0
29,629,Clarke County,18.5,257.0
30,631,Clayton County,17.4,760.0
32,633,Cobb County,22.5,2143.0
33,634,Coffee County,19.9,43.0
34,635,Colquitt County,18.6,89.0
35,636,Columbia County,22.7,325.0
36,637,Cook County,17.3,18.0
37,638,Coweta County,21.3,543.0
38,639,Crawford County,17.9,13.0
39,640,Crisp County,18.9,53.0
40,641,Dade County,19.9,61.0
41,642,Dawson County,21.3,65.0
42,643,Decatur County,19.1,57.0
43,644,DeKalb County,20.0,1337.0
44,645,Dodge County,18.6,28.0
45,646,Dooly County,15.9,20.0
46,647,Dougherty County,16.9,80.0
47,648,Douglas County,19.1,650.0
48,649,Early County,16.6,47.0
49,650,Echols County,17.2,14.0
50,651,Effingham County,21.4,139.0
51,652,Elbert County,17.5,18.0
52,653,Emanuel County,19.2,35.0
54,655,Fannin County,21.6,32.0
55,656,Fayette County,22.9,617.0
56,657,Floyd County,19.8,201.0
57,658,Forsyth County,24.6,1074.0
58,659,Franklin County,18.6,39.0
59,660,Fulton County,23.5,2071.0
60,661,Gilmer County,19.7,23.0
62,663,Glynn County,20.8,249.0
63,664,Gordon County,19.4,72.0
64,665,Grady County,18.0,45.0
65,666,Greene County,17.5,28.0
66,667,Gwinnett County,22.5,2785.0
67,668,Habersham County,25.8,20.0
68,669,Hall County,21.1,252.0
69,670,Hancock County,15.6,10.0
70,671,Haralson County,20.3,28.0
71,672,Harris County,20.7,110.0
72,673,Hart County,18.8,25.0
73,674,Heard County,18.5,38.0
74,675,Henry County,19.3,1010.0
75,676,Houston County,20.5,346.0
76,677,Irwin County,17.6,31.0
77,678,Jackson County,20.6,103.0
78,679,Jasper County,18.2,32.0
79,680,Jeff Davis County,17.8,17.0
81,682,Jenkins County,17.9,14.0
82,683,Johnson County,17.2,10.0
83,684,Jones County,18.9,63.0
84,685,Lamar County,18.4,20.0
86,687,Laurens County,20.0,61.0
87,688,Lee County,19.7,106.0
88,689,Liberty County,18.3,168.0
89,690,Lincoln County,18.5,16.0
90,691,Long County,18.1,16.0
91,692,Lowndes County,21.3,148.0
