School District Code,School District Tested,District Average Score,District Number Tested
601,Appling County,1002,78
602,Atkinson County,952,57
603,Bacon County,1019,49
605,Baldwin County,915,122
606,Banks County,1055,53
607,Barrow County,983,385
608,Bartow County,1035,309
609,Ben Hill County,937,90
610,Berrien County,1002,76
611,Bibb County,933,663
612,Bleckley County,1087,57
613,Brantley County,1041,71
614,Brooks County,947,33
615,Bryan County,1063,318
616,Bulloch County,1043,168
617,Burke County,969,104
618,Butts County,951,80
619,Calhoun County,888,22
620,Camden County,1048,201
621,Candler County,998,55
622,Carroll County,1022,332
623,Catoosa County,1129,38
624,Charlton County,989,34
625,Savannah-Chatham County,982,988
626,Chattahoochee County,994,21
627,Chattooga County,986,32
628,Cherokee County,1096,1161
629,Clarke County,957,386
631,Clayton County,947,1171
632,Clinch County,982,34
633,Cobb County,1079,3830
634,Coffee County,1006,161
635,Colquitt County,986,178
636,Columbia County,1085,990
637,Cook County,999,62
638,Coweta County,1057,512
639,Crawford County,1010,29
640,Crisp County,994,102
641,Dade County,1017,14
642,Dawson County,1034,101
643,Decatur County,956,77
644,DeKalb County,969,2897
645,Dodge County,991,63
646,Dooly County,975,12
647,Dougherty County,916,425
648,Douglas County,986,784
649,Early County,987,59
650,Echols County,959,15
651,Effingham County,1072,271
652,Elbert County,1008,58
653,Emanuel County,1012,76
654,Evans County,1038,35
655,Fannin County,1061,78
656,Fayette County,1111,793
657,Floyd County,1047,112
658,Forsyth County,1133,1543
659,Franklin County,993,82
660,Fulton County,1036,3990
661,Gilmer County,1021,133
662,Glascock County,1027,19
663,Glynn County,1040,268
664,Gordon County,997,162
665,Grady County,974,108
666,Greene County,956,26
667,Gwinnett County,1069,6750
668,Habersham County,1029,207
669,Hall County,1024,694
670,Hancock County,822,23
672,Harris County,1043,78
673,Hart County,959,84
674,Heard County,1000,27
675,Henry County,994,1212
676,Houston County,1042,746
677,Irwin County,962,36
678,Jackson County,1052,179
679,Jasper County,998,79
680,Jeff Davis County,969,61
681,Jefferson County,906,64
682,Jenkins County,999,18
683,Johnson County,950,33
684,Jones County,1031,134
685,Lamar County,950,71
686,Lanier County,965,37
687,Laurens County,1017,167
688,Lee County,1041,172
689,Liberty County,977,246
690,Lincoln County,1016,47
691,Long County,951,90
692,Lowndes County,1058,255
693,Lumpkin County,1089,84
694,Macon County,937,18
695,Madison County,1065,126
696,Marion County,973,36
697,McDuffie County,948,115
698,McIntosh County,957,25
699,Meriwether County,918,20
700,Miller County,951,30
701,Mitchell County,966,64
702,Monroe County,1061,117
703,Montgomery County,955,12
704,Morgan County,1012,112
705,Murray County,968,159
706,Muscogee County,1028,650
707,Newton County,972,450
708,Oconee County,1132,318
709,Oglethorpe County,1016,51
710,Paulding County,1025,974
711,Peach County,963,68
712,Pickens County,1054,129
713,Pierce County,1080,61
714,Pike County,1022,109
715,Polk County,1013,139
716,Pulaski County,990,17
717,Putnam County,1062,14
718,Quitman County,,TFS
719,Rabun County,1009,67
720,Randolph County,850,18
721,Richmond County,961,653
722,Rockdale County,971,681
723,Schley County,1014,36
724,Screven County,1002,48
725,Seminole County,969,41
726,Griffin-Spalding County,959,278
727,Stephens County,1032,105
728,Stewart County,880,19
729,Sumter County,914,95
730,Talbot County,897,10
731,Taliaferro County,,TFS
732,Tattnall County,988,96
733,Taylor County,934,56
734,Telfair County,908,37
735,Terrell County,912,21
736,Thomas County,980,123
737,Tift County,984,177
738,Toombs County,976,68
739,Towns County,1091,27
740,Treutlen County,976,33
741,Troup County,1024,269
742,Turner County,971,15
743,Twiggs County,846,25
744,Union County,1076,103
745,Thomaston-Upson County,973,121
746,Walker County,1147,22
747,Walton County,1024,403
748,Ware County,1006,123
749,Warren County,954,12
750,Washington County,899,92
751,Wayne County,1021,152
752,Webster County,997,13
753,Wheeler County,949,37
754,White County,1045,91
755,Whitfield County,1015,252
756,Wilcox County,1079,11
757,Wilkes County,920,63
758,Wilkinson County,975,33
759,Worth County,958,70
761,Atlanta Public Schools,964,1152
763,Bremen City,1042,73
764,Buford City,1112,168
765,Calhoun City,1026,94
766,Carrollton City,1033,196
767,Cartersville City,1074,85
769,Chickamauga City,1150,13
771,Commerce City,1024,56
772,Dalton Public Schools,958,250
773,Decatur City,1139,185
774,Dublin City,871,133
776,Gainesville City,971,203
779,Jefferson City,1103,119
781,Marietta City,1040,200
784,Pelham City,972,43
785,Rome City,1038,173
786,Social Circle City,1036,52
789,Thomasville City,1080,66
791,Trion City,1085,15
792,Valdosta City,984,196
793,Vidalia City,1019,61
