,pct_asian,pct_native,pct_black,pct_hispanic,pct_multi,pct_white,pct_ed,pct_swd,pct_lep,English_BegE,English_DevE,English_ProfE,English_DistE,Math_BegE,Math_DevE,Math_ProfE,Math_DistE,Science_BegE,Science_DevE,Science_ProfE,Science_DistE,Soc_BegE,Soc_DevE,Soc_ProfE,Soc_DistE,Third_Grade_Reading,Fifth_Grade_Reading,English_BegM,English_DevM,English_ProfM,English_DistM,Math_BegM,Math_DevM,Math_ProfM,Math_DistM,Science_BegM,Science_DevM,Science_ProfM,Science_DistM,Soc_BegM,Soc_DevM,Soc_ProfM,Soc_DistM,Eighth_Grade_Reading,English_BegH,English_DevH,English_ProfH,English_DistH,Math_BegH,Math_DevH,Math_ProfH,Math_DistH,Science_BegH,Science_DevH,Science_ProfH,Science_DistH,Soc_BegH,Soc_DevH,Soc_ProfH,Soc_DistH,College_Readiness,Accelerated_Course_Taking,Four_Year_Graduation_Rate,School District Code
0,1.0,0.0,23.0,15.0,3.0,58.0,44.200001,14.0,10.0,31.4,40.0,25.3,3.3,13.3,41.7,36.5,8.5,25.1,37.3,28.4,9.2,15.5,57.6,22.1,4.800000000000001,39.2,40.40000000000001,28.2,38.3,30.2,3.3,16.8,40.2,33.2,9.8,28.9,35.0,28.0,8.1,21.3,47.5,27.9,3.3,55.40000000000001,17.7,38.8,34.5,9.1,12.2,31.6,50.6,5.5,26.0,28.9,38.6,6.5,16.1,33.9,38.6,11.4,72.60000000000001,41.6,88.80000000000001,601
1,0.0,0.0,16.0,39.0,2.0,43.0,43.0,12.0,19.0,19.1,44.7,29.8,6.4,8.0,46.8,38.0,7.2,18.4,36.0,34.4,11.2,13.6,50.40000000000001,25.6,10.4,44.5,52.8,21.3,36.9,36.6,5.100000000000001,22.7,47.40000000000001,27.8,2.0,40.7,25.9,25.9,7.4,19.4,41.7,30.6,8.3,64.5,28.3,31.9,38.1,1.8,28.3,46.7,21.7,3.3,30.2,26.7,37.1,6.0,26.7,35.3,33.6,4.3,79.2,96.2,88.5,602
2,0.0,0.0,22.0,13.0,4.0,61.0,42.5,16.0,8.0,23.9,44.40000000000001,27.2,4.5,7.300000000000001,42.7,40.5,9.5,24.2,31.5,38.3,6.0,23.5,54.40000000000001,16.8,5.4,41.7,43.7,27.1,36.3,31.1,5.5,22.7,47.90000000000001,25.0,4.4,28.8,36.6,28.1,6.5,14.4,37.9,39.2,8.5,67.7,20.0,35.6,39.5,4.9,24.5,38.8,31.7,5.0,28.1,24.4,37.8,9.6,34.0,32.7,33.3,0.0,74.4,34.1,94.3,603
3,1.0,0.0,66.0,2.0,4.0,26.0,53.099998,11.0,2.0,39.90000000000001,38.40000000000001,17.4,4.3,29.0,47.40000000000001,18.8,4.7,50.7,26.4,18.4,4.5,42.0,46.6,9.1,2.3,29.7,37.3,41.7,37.5,18.6,2.2,39.0,43.8,14.9,2.3,46.40000000000001,31.9,17.5,4.2,35.0,40.40000000000001,20.3,4.3,48.40000000000001,35.3,41.8,22.2,0.7000000000000001,55.40000000000001,34.2,8.0,2.4,44.6,26.4,25.3,3.7,41.2,34.4,22.8,1.7,43.3,45.1,92.3,605
4,1.0,0.0,2.0,9.0,3.0,86.0,27.9,15.0,4.0,21.5,31.8,37.2,9.5,10.3,33.4,44.3,12.0,16.7,28.6,37.6,17.1,20.0,43.3,25.2,11.4,50.3,60.1,24.6,35.5,35.7,4.2,15.4,39.2,37.8,7.600000000000001,15.2,26.2,35.6,23.0,16.3,37.9,32.6,13.2,69.2,18.5,30.8,40.0,10.8,32.4,52.90000000000001,13.2,1.5,31.8,25.9,36.0,6.300000000000001,13.9,24.6,44.40000000000001,17.1,59.3,26.8,92.7,606
5,5.0,0.0,13.0,18.0,5.0,58.0,25.299999,14.0,13.0,18.5,38.3,34.2,9.0,10.7,40.7,39.3,9.3,23.2,35.6,34.3,6.9,17.2,51.6,24.4,6.9,49.1,56.6,22.0,40.90000000000001,32.7,4.4,13.0,46.1,33.6,7.2,26.3,33.8,33.5,6.5,15.8,39.8,33.0,11.4,65.3,23.7,37.5,32.7,6.100000000000001,32.1,41.0,23.1,3.9,23.7,23.4,39.8,13.1,27.3,32.5,33.9,6.4,64.9,51.8,86.10000000000001,607
6,1.0,0.0,10.0,13.0,4.0,72.0,25.799999,12.0,6.0,25.1,33.7,32.2,9.0,15.0,39.0,34.6,11.4,26.0,31.8,31.7,10.6,19.1,49.7,23.0,8.1,49.0,53.90000000000001,28.7,33.7,32.7,5.0,20.5,38.5,31.3,9.7,34.2,34.6,26.5,4.800000000000001,21.3,37.1,31.0,10.6,61.6,20.6,34.3,36.4,8.700000000000001,33.6,38.7,22.3,5.300000000000001,40.1,23.3,29.8,6.7,21.8,33.0,36.9,8.3,50.0,43.90000000000001,87.10000000000001,608
7,1.0,0.0,42.0,12.0,3.0,42.0,47.5,13.0,7.0,34.5,45.3,18.0,2.1,26.0,51.5,18.9,3.6,55.5,23.8,16.2,4.5,51.3,31.3,14.0,3.4,32.4,34.5,31.9,41.40000000000001,23.1,3.6,24.5,50.5,20.0,5.0,19.3,31.1,34.9,14.6,22.2,44.8,25.5,7.5,59.2,27.7,28.6,42.0,1.8,57.8,29.3,9.5,3.4,40.8,19.9,30.3,9.0,40.2,31.7,27.1,1.0,59.40000000000001,61.40000000000001,79.80000000000001,609
8,0.0,0.0,12.0,8.0,4.0,76.0,39.900002,11.0,4.0,13.9,36.3,39.3,10.4,6.2,34.5,44.0,15.2,12.9,26.9,39.8,20.5,7.600000000000001,47.8,26.1,18.5,57.3,64.3,16.9,39.0,40.1,4.0,6.9,38.90000000000001,38.90000000000001,15.4,18.1,30.4,35.2,16.3,15.0,37.0,33.9,14.1,73.9,17.6,45.6,33.0,3.8,24.8,40.6,29.1,5.600000000000001,32.3,23.8,30.2,13.7,20.3,29.7,34.9,15.1,76.2,46.2,79.10000000000001,610
9,2.0,0.0,73.0,5.0,2.0,18.0,55.299999,10.0,3.0,36.0,36.5,21.8,5.7,26.9,42.8,24.6,5.7,43.2,27.8,22.8,6.100000000000001,36.1,43.6,15.1,5.2,34.0,43.8,40.3,34.8,21.6,3.3,39.1,40.3,17.2,3.4,54.7,26.0,15.8,3.5,39.7,36.3,19.5,4.600000000000001,47.3,32.5,36.1,26.5,4.9,48.7,34.3,14.4,2.5,47.0,23.6,24.7,4.800000000000001,46.7,29.8,19.3,4.100000000000001,51.5,35.9,78.5,611
