,SCHOOL_YEAR,School District Code,DISTRICT_NAME,SCHOOL_CODE,SCHOOL_NAME,Revenues/Expenditures,Description,REV_EXP_VALUE,Dollars per FTE
17,2017-18,601,Appling County,ALL,All Column Values,K-12 Expenditures,Debt Services,0.0,0.0
18,2017-18,601,Appling County,ALL,All Column Values,K-12 Expenditures,General Administration,839011.19,240.89
19,2017-18,601,Appling County,ALL,All Column Values,K-12 Expenditures,Instruction,21602137.39,6202.16
20,2017-18,601,Appling County,ALL,All Column Values,K-12 Expenditures,Instructional Support,1405654.54,403.58
21,2017-18,601,Appling County,ALL,All Column Values,K-12 Expenditures,Maintenance and Operations,2388308.23,685.7
22,2017-18,601,Appling County,ALL,All Column Values,K-12 Expenditures,Media,545292.2,156.56
23,2017-18,601,Appling County,ALL,All Column Values,K-12 Expenditures,Pupil Services,1056212.78,303.25
24,2017-18,601,Appling County,ALL,All Column Values,K-12 Expenditures,Renovation and Capital Projects,0.0,0.0
25,2017-18,601,Appling County,ALL,All Column Values,K-12 Expenditures,School Administration,1675638.23,481.09
26,2017-18,601,Appling County,ALL,All Column Values,K-12 Expenditures,School food Services,27747.77,7.97
27,2017-18,601,Appling County,ALL,All Column Values,K-12 Expenditures,Transportation,1960696.54,562.93
28,2017-18,601,Appling County,ALL,All Column Values,K-12 Revenues,Federal,0.0,0.0
29,2017-18,601,Appling County,ALL,All Column Values,K-12 Revenues,Local,14729306.38,4228.91
30,2017-18,601,Appling County,ALL,All Column Values,K-12 Revenues,Other,0.0,0.0
31,2017-18,601,Appling County,ALL,All Column Values,K-12 Revenues,State Lottery,0.0,0.0
32,2017-18,601,Appling County,ALL,All Column Values,K-12 Revenues,State Other,535016.98,153.61
33,2017-18,601,Appling County,ALL,All Column Values,K-12 Revenues,State QBE,18812582.0,5401.26
34,2017-18,601,Appling County,1050,Altamaha Elementary School,K-12 Expenditures,Debt Services,0.0,0.0
35,2017-18,601,Appling County,1050,Altamaha Elementary School,K-12 Expenditures,General Administration,0.0,0.0
36,2017-18,601,Appling County,1050,Altamaha Elementary School,K-12 Expenditures,Instruction,2313712.47,6120.93
37,2017-18,601,Appling County,1050,Altamaha Elementary School,K-12 Expenditures,Instructional Support,6197.57,16.4
38,2017-18,601,Appling County,1050,Altamaha Elementary School,K-12 Expenditures,Maintenance and Operations,92106.81,243.67
39,2017-18,601,Appling County,1050,Altamaha Elementary School,K-12 Expenditures,Media,84263.98,222.92
40,2017-18,601,Appling County,1050,Altamaha Elementary School,K-12 Expenditures,Pupil Services,62027.92,164.1
41,2017-18,601,Appling County,1050,Altamaha Elementary School,K-12 Expenditures,Renovation and Capital Projects,0.0,0.0
42,2017-18,601,Appling County,1050,Altamaha Elementary School,K-12 Expenditures,School Administration,207218.62,548.2
43,2017-18,601,Appling County,1050,Altamaha Elementary School,K-12 Expenditures,School food Services,0.0,0.0
44,2017-18,601,Appling County,1050,Altamaha Elementary School,K-12 Expenditures,Transportation,0.0,0.0
