School Year,School District Code,School District Name,School Code,School Name,Total High School Graduates,Number of High School Graduates Enrolled in Postsecondary Institution
2017,601,Appling County,ALL,All Schools,198,118
2017,602,Atkinson County,ALL,All Schools,97,60
2017,603,Bacon County,ALL,All Schools,118,66
2017,604,Baker County,ALL,All Schools,18,TFS
2017,605,Baldwin County,ALL,All Schools,271,171
2017,606,Banks County,ALL,All Schools,209,108
2017,607,Barrow County,ALL,All Schools,724,470
2017,608,Bartow County,ALL,All Schools,886,495
2017,609,Ben Hill County,ALL,All Schools,175,115
2017,610,Berrien County,ALL,All Schools,173,92
2017,611,Bibb County,ALL,All Schools,1285,823
2017,612,Bleckley County,ALL,All Schools,165,111
2017,613,Brantley County,ALL,All Schools,217,96
2017,614,Brooks County,ALL,All Schools,97,54
2017,615,Bryan County,ALL,All Schools,573,400
2017,616,Bulloch County,ALL,All Schools,597,400
2017,617,Burke County,ALL,All Schools,239,147
2017,618,Butts County,ALL,All Schools,233,109
2017,619,Calhoun County,ALL,All Schools,43,27
2017,620,Camden County,ALL,All Schools,520,306
2017,621,Candler County,ALL,All Schools,115,66
2017,622,Carroll County,ALL,All Schools,939,495
2017,623,Catoosa County,ALL,All Schools,705,412
2017,624,Charlton County,ALL,All Schools,77,43
2017,625,Savannah-Chatham County,ALL,All Schools,1865,1158
2017,626,Chattahoochee County,ALL,All Schools,88,43
2017,627,Chattooga County,ALL,All Schools,215,76
2017,628,Cherokee County,ALL,All Schools,2736,2080
2017,629,Clarke County,ALL,All Schools,542,361
2017,631,Clayton County,ALL,All Schools,2698,1517
2017,632,Clinch County,ALL,All Schools,73,50
2017,633,Cobb County,ALL,All Schools,7812,5823
2017,634,Coffee County,ALL,All Schools,406,248
2017,635,Colquitt County,ALL,All Schools,534,350
2017,636,Columbia County,ALL,All Schools,1639,1262
2017,637,Cook County,ALL,All Schools,207,114
2017,638,Coweta County,ALL,All Schools,1502,1052
2017,639,Crawford County,ALL,All Schools,99,55
2017,640,Crisp County,ALL,All Schools,256,183
2017,641,Dade County,ALL,All Schools,125,49
2017,642,Dawson County,ALL,All Schools,229,157
2017,643,Decatur County,ALL,All Schools,346,198
2017,644,DeKalb County,ALL,All Schools,5451,3577
2017,645,Dodge County,ALL,All Schools,192,117
2017,646,Dooly County,ALL,All Schools,92,40
2017,647,Dougherty County,ALL,All Schools,823,499
2017,648,Douglas County,ALL,All Schools,1827,1157
2017,649,Early County,ALL,All Schools,163,102
2017,650,Echols County,ALL,All Schools,55,35
2017,651,Effingham County,ALL,All Schools,756,483
2017,652,Elbert County,ALL,All Schools,170,117
2017,653,Emanuel County,ALL,All Schools,222,125
2017,654,Evans County,ALL,All Schools,59,31
2017,655,Fannin County,ALL,All Schools,149,102
2017,656,Fayette County,ALL,All Schools,1575,1312
2017,657,Floyd County,ALL,All Schools,619,391
2017,658,Forsyth County,ALL,All Schools,3020,2502
2017,659,Franklin County,ALL,All Schools,260,158
2017,660,Fulton County,ALL,All Schools,6586,5145
2017,661,Gilmer County,ALL,All Schools,248,148
2017,662,Glascock County,ALL,All Schools,40,26
2017,663,Glynn County,ALL,All Schools,754,478
