School Year,School District Code,School District Name,School Code,School Name,Graduates,Postsecondary Institution,Percent
2017,601,Appling County,ALL,All Schools,198.0,118.0,59.6
2017,602,Atkinson County,ALL,All Schools,97.0,60.0,61.86
2017,603,Bacon County,ALL,All Schools,118.0,66.0,55.93
2017,605,Baldwin County,ALL,All Schools,271.0,171.0,63.1
2017,606,Banks County,ALL,All Schools,209.0,108.0,51.67
2017,607,Barrow County,ALL,All Schools,724.0,470.0,64.92
2017,608,Bartow County,ALL,All Schools,886.0,495.0,55.87
2017,609,Ben Hill County,ALL,All Schools,175.0,115.0,65.71
2017,610,Berrien County,ALL,All Schools,173.0,92.0,53.18
2017,611,Bibb County,ALL,All Schools,1285.0,823.0,64.05
2017,612,Bleckley County,ALL,All Schools,165.0,111.0,67.27
2017,613,Brantley County,ALL,All Schools,217.0,96.0,44.24
2017,614,Brooks County,ALL,All Schools,97.0,54.0,55.67
2017,615,Bryan County,ALL,All Schools,573.0,400.0,69.81
2017,616,Bulloch County,ALL,All Schools,597.0,400.0,67.0
2017,617,Burke County,ALL,All Schools,239.0,147.0,61.51
2017,618,Butts County,ALL,All Schools,233.0,109.0,46.78
2017,619,Calhoun County,ALL,All Schools,43.0,27.0,62.79
2017,620,Camden County,ALL,All Schools,520.0,306.0,58.85
2017,621,Candler County,ALL,All Schools,115.0,66.0,57.39
2017,622,Carroll County,ALL,All Schools,939.0,495.0,52.72
2017,623,Catoosa County,ALL,All Schools,705.0,412.0,58.44
2017,624,Charlton County,ALL,All Schools,77.0,43.0,55.84
2017,625,Savannah-Chatham County,ALL,All Schools,1865.0,1158.0,62.09
2017,626,Chattahoochee County,ALL,All Schools,88.0,43.0,48.86
2017,627,Chattooga County,ALL,All Schools,215.0,76.0,35.35
2017,628,Cherokee County,ALL,All Schools,2736.0,2080.0,76.02
2017,629,Clarke County,ALL,All Schools,542.0,361.0,66.61
2017,631,Clayton County,ALL,All Schools,2698.0,1517.0,56.23
2017,632,Clinch County,ALL,All Schools,73.0,50.0,68.49
