,SCHOOL_DSTRCT_CD,LABEL_LVL_1_DESC,PROGRAM_TOTAL,PROGRAM_PERCENT,TOTAL_COUNT
0,601,Grad Rate -ALL Students,220.0,90.16,244.0
4,601,Grad Rate -Black,54.0,96.43,56.0
5,601,Grad Rate -Economically Disadvantaged,220.0,90.53,243.0
6,601,Grad Rate -Female,110.0,90.91,121.0
8,601,Grad Rate -Hispanic,29.0,93.55,31.0
11,601,Grad Rate -Male,110.0,89.43,123.0
12,601,Grad Rate -Migrant,12.0,92.31,13.0
15,601,Grad Rate -Students With Disability,14.0,66.67,21.0
16,601,Grad Rate -Students Without Disability,206.0,92.4,223.0
17,601,Grad Rate -White,131.0,87.33,150.0
18,602,Grad Rate -ALL Students,105.0,89.74,117.0
22,602,Grad Rate -Black,18.0,85.71,21.0
23,602,Grad Rate -Economically Disadvantaged,105.0,89.74,117.0
24,602,Grad Rate -Female,54.0,91.53,59.0
26,602,Grad Rate -Hispanic,40.0,90.91,44.0
29,602,Grad Rate -Male,51.0,87.93,58.0
33,602,Grad Rate -Students With Disability,10.0,71.43,14.0
34,602,Grad Rate -Students Without Disability,95.0,92.2,103.0
35,602,Grad Rate -White,46.0,90.2,51.0
36,603,Grad Rate -ALL Students,143.0,94.08,152.0
40,603,Grad Rate -Black,20.0,86.96,23.0
41,603,Grad Rate -Economically Disadvantaged,73.0,94.81,77.0
42,603,Grad Rate -Female,61.0,93.85,65.0
44,603,Grad Rate -Hispanic,24.0,100.0,24.0
47,603,Grad Rate -Male,82.0,94.25,87.0
50,603,Grad Rate -Not Economically Disadvantaged,70.0,93.3,75.0
51,603,Grad Rate -Students With Disability,14.0,77.78,18.0
52,603,Grad Rate -Students Without Disability,129.0,96.3,134.0
53,603,Grad Rate -White,93.0,93.94,99.0
54,604,Grad Rate -ALL Students,20.0,86.96,23.0
58,604,Grad Rate -Black,14.0,93.33,15.0
59,604,Grad Rate -Economically Disadvantaged,20.0,86.96,23.0
60,604,Grad Rate -Female,12.0,92.31,13.0
70,604,Grad Rate -Students Without Disability,14.0,87.5,16.0
72,605,Grad Rate -ALL Students,273.0,90.7,301.0
76,605,Grad Rate -Black,215.0,92.67,232.0
77,605,Grad Rate -Economically Disadvantaged,273.0,90.7,301.0
78,605,Grad Rate -Female,143.0,94.08,152.0
83,605,Grad Rate -Male,130.0,87.25,149.0
87,605,Grad Rate -Students With Disability,28.0,87.5,32.0
88,605,Grad Rate -Students Without Disability,245.0,91.1,269.0
89,605,Grad Rate -White,44.0,80.0,55.0
90,606,Grad Rate -ALL Students,168.0,85.28,197.0
95,606,Grad Rate -Economically Disadvantaged,68.0,75.56,90.0
96,606,Grad Rate -Female,80.0,86.96,92.0
98,606,Grad Rate -Hispanic,11.0,78.57,14.0
101,606,Grad Rate -Male,88.0,83.81,105.0
104,606,Grad Rate -Not Economically Disadvantaged,100.0,93.5,107.0
105,606,Grad Rate -Students With Disability,20.0,74.07,27.0
106,606,Grad Rate -Students Without Disability,148.0,87.1,170.0
107,606,Grad Rate -White,149.0,85.14,175.0
108,607,Grad Rate -ALL Students,534.0,87.71,609.3333333333334
111,607,Grad Rate -Asian/Pacific Islander,31.333333333333332,93.68333333333334,34.0
112,607,Grad Rate -Black,83.33333333333333,90.08999999999999,92.66666666666667
113,607,Grad Rate -Economically Disadvantaged,248.0,89.67,276.6666666666667
114,607,Grad Rate -Female,272.6666666666667,90.93333333333334,300.0
116,607,Grad Rate -Hispanic,106.0,86.40666666666665,122.66666666666667
117,607,Grad Rate -Homeless,30.0,71.38333333333333,42.0
118,607,Grad Rate -Limited English Proficient,27.333333333333332,78.97333333333333,34.666666666666664
119,607,Grad Rate -Male,261.3333333333333,84.58666666666666,309.3333333333333
121,607,Grad Rate -Multi-Racial,22.5,85.04499999999999,26.5
122,607,Grad Rate -Not Economically Disadvantaged,286.0,86.10000000000001,332.6666666666667
123,607,Grad Rate -Students With Disability,58.666666666666664,74.6,79.33333333333333
124,607,Grad Rate -Students Without Disability,475.3333333333333,89.73333333333333,530.0
125,607,Grad Rate -White,294.6666666666667,87.46999999999998,337.3333333333333
126,608,Grad Rate -ALL Students,433.25,89.51749999999998,485.5
130,608,Grad Rate -Black,46.75,91.71499999999999,51.75
131,608,Grad Rate -Economically Disadvantaged,175.75,82.7775,213.25
132,608,Grad Rate -Female,216.0,91.8575,235.5
134,608,Grad Rate -Hispanic,58.0,90.4975,63.5
135,608,Grad Rate -Homeless,18.5,98.215,19.0
136,608,Grad Rate -Limited English Proficient,15.0,81.1,18.5
137,608,Grad Rate -Male,217.25,87.3575,250.0
139,608,Grad Rate -Multi-Racial,17.0,60.71,28.0
140,608,Grad Rate -Not Economically Disadvantaged,257.5,94.72500000000001,272.25
141,608,Grad Rate -Students With Disability,39.0,71.0025,55.5
142,608,Grad Rate -Students Without Disability,394.25,91.875,430.0
143,608,Grad Rate -White,316.0,90.30999999999999,351.25
144,609,Grad Rate -ALL Students,193.0,88.53,218.0
148,609,Grad Rate -Black,73.0,92.41,79.0
149,609,Grad Rate -Economically Disadvantaged,193.0,88.53,218.0
150,609,Grad Rate -Female,106.0,91.38,116.0
152,609,Grad Rate -Hispanic,20.0,100.0,20.0
155,609,Grad Rate -Male,87.0,85.29,102.0
159,609,Grad Rate -Students With Disability,21.0,72.41,29.0
160,609,Grad Rate -Students Without Disability,172.0,91.0,189.0
161,609,Grad Rate -White,92.0,85.19,108.0
162,610,Grad Rate -ALL Students,125.33333333333333,78.81,144.66666666666666
166,610,Grad Rate -Black,20.0,95.24,21.0
167,610,Grad Rate -Economically Disadvantaged,125.33333333333333,78.81,144.66666666666666
168,610,Grad Rate -Female,68.66666666666667,82.28333333333333,75.33333333333333
170,610,Grad Rate -Hispanic,15.0,93.75,16.0
