"LONG_SCHOOL_YEAR","SCHOOL_DISTRCT_CD","SCHOOL_DSTRCT_NM","INSTN_NUMBER","INSTN_NAME","SUBGRP_DESC","TEST_CMPNT_TYP_CD","NATIONAL_NUM_TESTED_CNT","STATE_NUM_TESTED_CNT","DSTRCT_NUM_TESTED_CNT","INSTN_NUM_TESTED_CNT","NATIONAL_AVG_SCORE_VAL","STATE_AVG_SCORE_VAL","DSTRCT_AVG_SCORE_VAL","INSTN_AVG_SCORE_VAL"
"2019-20","711","Peach County","2052","Peach County High School","All Students","Mathematics",1670497,26810,"72","72",20.4,20.2,16.9,16.9
"2019-20","644","DeKalb County","2055","Druid Hills High School","All Students","Reading",1670497,26810,"1337","80",21.2,21.6,20.9,23.3
"2019-20","644","DeKalb County","2055","Druid Hills High School","All Students","English",1670497,26811,"1337","80",19.7,20.2,19.5,21.6
"2019-20","644","DeKalb County","2055","Druid Hills High School","All Students","Science",1670497,26810,"1337","80",20.6,20.8,19.9,21.9
"2019-20","644","DeKalb County","2055","Druid Hills High School","All Students","Writing Subscore",678906,5089,"332","13",6.4,6.8,6.7,6.5
"2019-20","696","Marion County","0275","Marion County Middle/High School","All Students","Science",1670497,26810,"11","11",20.6,20.8,17.8,17.8
"2019-20","619","Calhoun County","0113","Calhoun County High School","All Students","English",1670497,26811,"TFS","TFS",19.7,20.2,,
"2019-20","682","Jenkins County","0201","Jenkins County High School","All Students","Mathematics",1670497,26810,"14","14",20.4,20.2,17.4,17.4
"2019-20","721","Richmond County","2056","Hephzibah High School","All Students","Mathematics",1670497,26810,"316","29",20.4,20.2,16.9,16.1
"2019-20","721","Richmond County","3054","Glenn Hills High School","All Students","Writing Subscore",678906,5089,"68","11",6.4,6.8,6,6
"2019-20","644","DeKalb County","0810","Elizabeth Andrews High School","All Students","Reading",1670497,26810,"1337","TFS",21.2,21.6,20.9,
"2019-20","644","DeKalb County","0810","Elizabeth Andrews High School","All Students","Composite",1670497,26811,"1337","TFS",20.6,20.8,20,
"2019-20","660","Fulton County","0176","Banneker High School","All Students","Writing Subscore",678906,5089,"408","TFS",6.4,6.8,7.2,
"2019-20","727","Stephens County","5050","Stephens County High School","All Students","Reading",1670497,26810,"36","36",21.2,21.6,21.4,21.4
"2019-20","731","Taliaferro County","0102","Taliaferro County School","All Students","Reading",1670497,26810,"TFS","TFS",21.2,21.6,,
"2019-20","781","Marietta City","0101","Marietta High School","All Students","Science",1670497,26810,"158","158",20.6,20.8,21.7,21.7
"2019-20","781","Marietta City","0101","Marietta High School","All Students","Reading",1670497,26810,"158","158",21.2,21.6,22.5,22.5
"2019-20","633","Cobb County","0707","Hillgrove High School","All Students","Mathematics",1670497,26810,"2143","204",20.4,20.2,21.7,20.8
"2019-20","765","Calhoun City","3050","Calhoun High School","All Students","Reading",1670497,26810,"74","74",21.2,21.6,21.1,21.1
"2019-20","772","Dalton Public Schools","0110","Morris Innovative High School","All Students","English",1670497,26811,"82","TFS",19.7,20.2,18.5,
"2019-20","706","Muscogee County","2062","Hardaway High School","All Students","Science",1670497,26810,"603","60",20.6,20.8,19.2,18
"2019-20","706","Muscogee County","2062","Hardaway High School","All Students","Writing Subscore",678906,5089,"135","13",6.4,6.8,6.5,6.8
