,School Year,School District Code,School District Name,School Code,School Name,Graduates,Postsecondary Institution,Percent
157,2017,764,Buford City,ALL,All Schools,269.0,218.0,81.04
62,2017,665,Grady County,ALL,All Schools,253.0,147.0,58.1
129,2017,734,Telfair County,ALL,All Schools,112.0,55.0,49.11
115,2017,719,Rabun County,ALL,All Schools,132.0,91.0,68.94
58,2017,661,Gilmer County,ALL,All Schools,248.0,148.0,59.68
66,2017,669,Hall County,ALL,All Schools,1635.0,1041.0,63.67
51,2017,654,Evans County,ALL,All Schools,59.0,31.0,52.54
49,2017,652,Elbert County,ALL,All Schools,170.0,117.0,68.82
126,2017,730,Talbot County,ALL,All Schools,30.0,23.0,76.67
64,2017,667,Gwinnett County,ALL,All Schools,11183.0,8756.0,78.3
88,2017,691,Long County,ALL,All Schools,183.0,90.0,49.18
38,2017,641,Dade County,ALL,All Schools,125.0,49.0,39.2
111,2017,714,Pike County,ALL,All Schools,226.0,157.0,69.47
58,2017,661,Gilmer County,ALL,All Schools,248.0,148.0,59.68
7,2017,609,Ben Hill County,ALL,All Schools,175.0,115.0,65.71
12,2017,614,Brooks County,ALL,All Schools,97.0,54.0,55.67
149,2017,754,White County,ALL,All Schools,251.0,169.0,67.33
8,2017,610,Berrien County,ALL,All Schools,173.0,92.0,53.18
157,2017,764,Buford City,ALL,All Schools,269.0,218.0,81.04
121,2017,725,Seminole County,ALL,All Schools,109.0,70.0,64.22
106,2017,709,Oglethorpe County,ALL,All Schools,121.0,70.0,57.85
108,2017,711,Peach County,ALL,All Schools,214.0,132.0,61.68
161,2017,769,Chickamauga City,ALL,All Schools,123.0,98.0,79.67
132,2017,737,Tift County,ALL,All Schools,411.0,286.0,69.59
97,2017,700,Miller County,ALL,All Schools,66.0,44.0,66.67
24,2017,626,Chattahoochee County,ALL,All Schools,88.0,43.0,48.86
96,2017,699,Meriwether County,ALL,All Schools,155.0,65.0,41.94
18,2017,620,Camden County,ALL,All Schools,520.0,306.0,58.85
88,2017,691,Long County,ALL,All Schools,183.0,90.0,49.18
73,2017,676,Houston County,ALL,All Schools,1747.0,1289.0,73.78
125,2017,729,Sumter County,ALL,All Schools,249.0,188.0,75.5
33,2017,636,Columbia County,ALL,All Schools,1639.0,1262.0,77.0
75,2017,678,Jackson County,ALL,All Schools,424.0,280.0,66.04
93,2017,696,Marion County,ALL,All Schools,109.0,60.0,55.05
59,2017,662,Glascock County,ALL,All Schools,40.0,26.0,65.0
179,2017,786,Social Circle City,ALL,All Schools,103.0,64.0,62.14
30,2017,633,Cobb County,ALL,All Schools,7812.0,5823.0,74.54
131,2017,736,Thomas County,ALL,All Schools,374.0,236.0,63.1
83,2017,686,Lanier County,ALL,All Schools,67.0,40.0,59.7
75,2017,678,Jackson County,ALL,All Schools,424.0,280.0,66.04
70,2017,673,Hart County,ALL,All Schools,197.0,129.0,65.48
132,2017,737,Tift County,ALL,All Schools,411.0,286.0,69.59
87,2017,690,Lincoln County,ALL,All Schools,82.0,52.0,63.41
44,2017,647,Dougherty County,ALL,All Schools,823.0,499.0,60.63
